county,zip
72005,605
72017,617
72051,646
72083,670
72035,736
72119,745
72087,772
78010,850
72127,902
26163,48112
72127,914
72137,950
72127,925
72127,927
25015,1002
25015,1004
25013,1040
25015,1098
25015,1082
25013,1104
25013,1103
25003,1201
25003,1245
25003,1270
25011,1341
25011,1378
25011,1376
25011,1373
25027,1453
25013,1521
25027,1516
25017,1469
25027,1536
25027,1603
25017,1701
26163,48201
25027,1609
25017,1731
25017,1721
25017,1770
25009,1832
25009,1845
25017,1862
25017,1880
25017,1886
25017,1890
25009,1907
25009,1922
25021,2021
25009,1985
25021,2081
25021,2072
25023,2065
25021,2067
25025,2111
25025,2210
25021,2186
25021,2190
42031,16353
25023,2346
25023,2325
25023,2338
25023,2333
25023,2367
25017,2466
25017,2464
25017,2474
25001,2642
25005,2703
25005,2721
25023,2738
25005,2746
44009,2807
44001,2809
44009,2822
44009,2832
44007,2858
44009,2874
44009,2879
44009,2882
44009,2892
44007,2906
44007,2910
33015,3042
33011,3060
33011,3064
33015,3087
33011,3102
33013,3221
33011,3108
33001,3253
33013,3230
33009,3245
33013,3263
33013,3260
33013,3276
33009,3285
33009,3574
33007,3582
33009,3740
33019,3753
33009,3777
33009,3784
33003,3849
33003,3853
23031,3907
23031,4002
23031,3908
23023,4008
23031,4030
23005,4040
23031,4073
23031,4076
23005,4091
23005,4106
23005,4101
42021,16640
23015,4348
23011,4349
23021,4414
23027,4438
23019,4455
23019,4448
23009,4605
23009,4472
23015,4535
23015,4551
23009,4627
23029,4658
23029,4667
23003,4736
23003,4750
23019,4777
23013,4864
23019,4939
23025,4976
50027,5060
50023,5060
50027,5059
50003,5250
50025,5101
50003,5148
50025,5155
50007,5403
50025,5353
50023,5601
50011,5483
50011,5488
50001,5487
50015,5672
50023,5650
50021,5738
50001,5734
50023,5676
50023,5680
50019,5680
50001,5778
50001,5770
50019,5859
50019,5871
50005,5828
50005,5822
50019,5847
9003,6013
9003,6019
9003,6010
9003,6040
9003,6066
9003,6074
9013,6071
9003,6085
26107,49332
9015,6259
9015,6241
9015,6256
9015,6279
9013,6231
9011,6379
9011,6385
9011,6339
26121,49415
9011,6338
9009,6511
9009,6405
9003,6489
9009,6483
9009,6443
9007,6438
9001,6608
9001,6854
9001,6870
9001,6880
9001,6612
9005,6790
9005,6796
9001,6810
9001,6831
9005,6763
34013,7003
34003,7010
34013,7018
34003,7020
34013,7028
34013,7019
34013,7021
34017,7032
34031,7014
34035,7059
34039,7076
34003,7070
34013,7079
34027,7082
26055,49685
34031,7505
34017,7305
34031,7424
34037,7418
34031,7438
34003,7450
34031,7456
34027,7457
34037,7460
34003,7640
34003,7626
26047,49706
34003,7670
34027,7866
34027,7850
34037,7851
34025,7716
34025,7747
34025,7760
34037,7825
34037,7827
34039,7901
34035,7924
34027,7936
34035,7931
34039,7974
34015,8051
34007,8030
34007,8029
34001,8203
26095,49853
34007,8083
34015,8081
34029,8087
34015,8090
34029,8092
34009,8202
34007,8110
34033,8069
34001,8330
34029,8724
34029,8734
34001,8401
34033,8343
34011,8345
34021,8607
34021,8609
34021,8543
34035,8558
34005,8610
34025,8691
34023,8512
34021,8501
34029,8533
34023,8828
34025,8750
42035,17740
34041,8802
34023,8816
34019,8867
34023,8859
13217,30014
34035,8880
39049,43123
19021,50592
19187,50532
19061,52053
19129,51551
13057,30004
13247,30013
34023,8906
13217,30025
13089,30035
13067,30067
13067,30075
42091,19025
55069,54452
13135,30042
13135,30047
13135,30046
55119,54480
13247,30052
13297,30054
42101,19122
55125,54521
42101,19127
13135,30096
13233,30104
13117,30107
13015,30102
13067,30102
13067,30101
13015,30137
13227,30143
13045,30179
13143,30179
13015,30178
13231,30206
13247,30294
13171,30295
13255,30292
13063,30298
18067,46901
13121,30301
13255,30224
13063,30274
13121,30307
27163,55025
13121,30337
13121,30349
13121,30350
13135,30517
11001,20037
13121,30358
13267,30420
13031,30459
13031,30461
13251,30446
13279,30474
13267,30427
13011,30521
13123,30522
13085,30534
13187,30533
13157,30530
13195,30530
13265,30631
13195,30633
13123,30539
13291,30560
13137,30563
13157,30565
27053,55343
13059,30604
13119,30577
13059,30622
13241,30552
13157,30558
13139,30548
13297,30655
13147,30662
13129,30701
13265,30678
13313,30720
13295,30739
13047,30736
13295,30738
13189,30808
13245,30906
13159,31064
13079,31066
13315,31071
13269,31076
13245,30909
13245,30919
13175,31021
13091,31023
27137,55723
13023,31036
13079,31052
13269,31058
13079,31050
13081,31010
13207,31016
24005,21228
24510,21230
27137,55802
13051,31401
13069,31554
13005,31554
13005,31551
13039,31558
13305,31555
13025,31557
13299,31552
13051,31409
13127,31522
13069,31534
13027,31626
13071,31637
51085,23005
13095,31702
13273,31721
13277,31733
13215,31909
27147,56026
13261,31780
13321,31791
13155,31783
13199,31830
27091,56181
13145,31826
13215,31901
13215,31907
13019,31794
13145,31804
12079,32059
12023,32055
12109,32080
12035,32164
12127,32119
27035,56465
12031,32219
12031,32220
12031,32250
12031,32240
12031,32227
12031,32245
12031,32259
12073,32314
12077,32334
26033,49715
12039,32343
12073,32305
12005,32411
46099,57018
26003,49862
12131,32435
12013,32449
12033,32506
12033,32504
12033,32502
12033,32534
12033,32535
12091,32539
12113,32565
12091,32579
46013,57401
12075,32626
12107,32640
12075,32693
12095,32703
12127,32738
12117,32730
12127,32720
12117,32716
12117,32751
12009,32754
12117,32765
12069,32778
12083,32784
12117,32792
12095,32803
12127,32764
12127,32759
12095,32809
19181,50240
12095,32836
12095,32833
12086,33002
12009,32935
12061,32961
12086,33014
12086,33013
38083,58463
38057,58545
12011,33068
12011,33066
12086,33030
12086,33031
12087,33040
12087,33041
12086,33054
12086,33125
12086,33155
12086,33135
12086,33139
12086,33145
12086,33154
12086,33175
12086,33174
12086,33179
12086,33180
12086,33238
12099,33411
12011,33326
12011,33346
30017,59301
12011,33322
12099,33425
12099,33415
12099,33436
12011,33441
12099,33437
12011,33442
12099,33445
30027,59457
12099,33483
30041,59501
12099,33496
12099,33498
12101,33544
12101,33545
12057,33547
12057,33564
12057,33567
12057,33534
12057,33610
12057,33606
12057,33614
12057,33684
12057,33679
55025,53527
12057,33673
12103,33706
12057,33616
12057,33615
30031,59752
12103,33715
12105,33839
12103,33770
12103,33771
30063,59803
12105,33806
12105,33804
30063,59808
12105,33880
12049,33873
12055,33876
12105,33859
55009,54115
12105,33856
12071,33914
30029,59925
12015,33938
12015,33981
12071,33972
12071,33966
12081,34208
37125,27281
12021,34112
37085,27546
12021,34120
12021,34108
12081,34210
12081,34211
12081,34209
12081,34217
12083,34430
12115,34240
12027,34269
12081,34282
12115,34277
12017,34446
12101,34652
12083,34472
12083,34474
12083,34488
12075,34498
12053,34607
12103,34685
12069,34713
12097,34744
12105,34759
12095,34761
12111,34957
12085,34958
37097,28117
1073,35064
1073,35073
1043,35077
1037,35072
12111,34988
1073,35020
1133,35053
1117,35007
1117,35080
1043,35083
1117,35078
1043,35087
1115,35094
1117,35094
1021,35171
1117,35176
1115,35178
1073,35203
1073,35204
1073,35208
1037,35136
1073,35220
1127,35578
1125,35401
1125,35403
1063,35462
1125,35463
1127,35504
1133,35541
17031,60453
1057,35554
1093,35548
1075,35544
1103,35619
1033,35616
1083,35620
1033,35660
1079,35654
1033,35653
1033,35674
1077,35677
1071,35769
1005,36027
1051,36025
1013,36032
1109,36035
1015,35905
1049,35961
1049,35967
1009,35976
1049,35986
1045,36010
1055,35952
1013,36071
1123,36078
1013,36037
1051,36054
1101,36052
1005,36053
1017,36276
1011,36089
1051,36092
1101,36114
1101,36111
1015,36201
1015,36203
1015,36207
1029,36264
1051,36093
1045,36322
1069,36302
1067,36353
1069,36376
1031,36346
1053,36562
1097,36575
1025,36451
1003,36535
1129,36548
1061,36477
1097,36605
1003,36579
1097,36608
1097,36611
1097,36689
1085,36761
1091,36784
1099,36751
1001,36749
1023,36910
47037,37011
1119,36922
47125,37052
47037,37138
47021,37143
47149,37135
47041,37095
47135,37097
47189,37088
27053,55418
47159,37087
47175,37110
47083,37101
47021,37082
47161,37175
47085,37185
47003,37183
47159,37184
47161,37178
47065,37302
47187,37221
47051,37306
47037,37229
47037,37232
47011,37311
17031,60607
47037,37209
47037,37207
47123,37354
47031,37355
47003,37360
47143,37338
47139,37369
47051,37398
47065,37402
47065,37408
47115,37405
47065,37421
45019,29403
47115,37419
47143,37381
47163,37660
47179,37663
47073,37642
47019,37658
47163,37656
47059,37809
47009,37804
47001,37705
47091,37683
47013,37757
47155,37764
